No,NoPCBA,MAC Box,Id PCBA
1,1,1234567890,943111111111
2,2,1234567890,943111111112
3,3,1234567890,943111111113
4,4,1234567890,943111111114
5,5,1234567890,943111111115
6,6,1234567890,943111111116
7,7,,943111111119
8,8,,943111111118
9,9,,943111111110
10,10,,943111111117
11,1,2111111111,943211111111
12,2,2111111111,943211111112
13,3,2111111111,943211111113
14,4,2111111111,943211111114
15,5,2111111111,943211111115
16,6,2111111111,943211111116
17,7,2111111111,943211111117
18,8,2111111111,943211111118
19,9,2111111111,943211111119
20,10,2111111111,943211111110
21,1,3213211234,943431234567
22,2,3213211234,943431234566
23,3,,943431234561
24,4,,943431234562
25,5,,943431234563
26,6,,943431234568
27,7,,943434312345
